GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mybatis-typehandlers-jsr310,org.apache.ibatis.type,LocalDateTimeTypeHandler,0,37,0,2,0,12,0,7,0,6
mybatis-typehandlers-jsr310,org.apache.ibatis.type,OffsetTimeTypeHandler,0,41,0,2,0,12,0,7,0,6
mybatis-typehandlers-jsr310,org.apache.ibatis.type,YearTypeHandler,0,42,0,6,0,9,0,8,0,5
mybatis-typehandlers-jsr310,org.apache.ibatis.type,JapaneseDateTypeHandler,0,40,0,2,0,12,0,7,0,6
mybatis-typehandlers-jsr310,org.apache.ibatis.type,LocalDateTypeHandler,0,37,0,2,0,12,0,7,0,6
mybatis-typehandlers-jsr310,org.apache.ibatis.type,YearMonthTypeHandler,0,42,0,6,0,9,0,8,0,5
mybatis-typehandlers-jsr310,org.apache.ibatis.type,MonthTypeHandler,0,42,0,6,0,9,0,8,0,5
mybatis-typehandlers-jsr310,org.apache.ibatis.type,InstantTypeHandler,0,37,0,2,0,12,0,7,0,6
mybatis-typehandlers-jsr310,org.apache.ibatis.type,LocalTimeTypeHandler,0,37,0,2,0,12,0,7,0,6
mybatis-typehandlers-jsr310,org.apache.ibatis.type,OffsetDateTimeTypeHandler,0,40,0,2,0,12,0,7,0,6
mybatis-typehandlers-jsr310,org.apache.ibatis.type,ZonedDateTimeTypeHandler,0,40,0,2,0,12,0,7,0,6
